type,encoded_text,scheme,num_of_chars,contains_bit_only,contains_decimal_only,contains_hex_only,contains_alpha_only,contains_upper_case_only,contains_lower_case_only,contains_mixed_upper_lower_case,contains_equal,contains_slash,contains_dot,contains_colon,contains_special_chars
Apache MD5 Crypt,$apr1$KXjVtVRN$Rnl97gVlUGjE7cwk8keh71,$apr1$,37,0,0,0,0,0,0,1,0,0,0,0,1
Argon2,"$argon2id$v=19$m=65536,t=4,p=4$m5PSmjMGIARA6D3H2NvbOw$OeTfi8dOxuifUcHXCfpGruXMSaCRhmb3MceN7bMXOAo",$argon2id$,97,0,0,0,0,0,0,1,1,0,0,0,1
Atbash,ª©¨§¦¥¤£¢,None,9,0,0,0,0,0,1,0,0,0,0,0,1
Atlassian PBKDF2 SHA1,{PKCS5S2}3psT4hxjLIXQOicEYIwRYlRvzr5e26U6rn6WTCIaKuOT6hO0v7Mam81cnf9rzZL3,{PKCS5S2},73,0,0,0,0,0,0,1,0,0,0,0,1
Base32,GEZDGNBVGY3TQOI=,None,16,0,0,0,0,1,0,0,1,0,0,0,1
Base64,MTIzNDU2Nzg5,None,12,0,0,0,0,0,0,1,0,0,0,0,0
BCrypt,$2a$12$.4lIyC5ehst5bCRA0ABj0.BsdNxD4qky5eIT9p7VPUuQ7HHndYbx6,$2a$,60,0,0,0,0,0,0,1,0,0,1,0,1
BCrypt,$2b$12$cj1WrRT5GgpGoDXLB57WY.Sdy6L70zxx.g9Kp9MBnvjBwU5WQUqdG,$2b$,60,0,0,0,0,0,0,1,0,0,1,0,1
Binary,110001110010110011110100110101110110110111111000111001,None,54,1,1,1,0,0,0,0,0,0,0,0,0
BLAKE2b,f5ab8bafa6f2f72b431188ac38ae2de7bb618fb3d38b6cbf639defcdd5e10a86b22fccff571da37e42b23b80b657ee4d936478f582280a87d6dbb1da73f5c47d,None,128,0,0,1,0,0,1,0,0,0,0,0,0
BLAKE2s,7acc2dd21a2909140507f37396acce906864b5f118dfa766b107962b7a82a0d4,None,64,0,0,1,0,0,1,0,0,0,0,0,0
BSDi Crypt,_7C/.yR8AfBcNMxxAU/U,None,20,0,0,0,0,0,0,1,0,1,1,0,1
Caesar,ijklmnopq,None,9,0,0,0,1,0,1,0,0,0,0,0,0
CISCO-ASA MD5,oBGOJTSctBcCGoTh,None,16,0,0,0,1,0,0,1,0,0,0,0,0
CISCO-PIX MD5,oBGOJTSctBcCGoTh,None,16,0,0,0,1,0,0,1,0,0,0,0,0
CISCO Type 7,11584B5643475D5B5C73,None,20,0,0,1,0,1,0,0,0,0,0,0,0
CRC-16,12739,None,5,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,806403967,None,9,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,7800480153909949255,None,19,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,495051525354555657,None,18,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,d4UOJFrQ45kE6,None,13,0,0,0,0,0,0,1,0,0,0,0,0
Django Argon2,"argon2$argon2i$v=19$m=65536,t=3,p=4$VopxTsn5v1dKaY0xRmhtTQ$qFerWES0/hYoT6u678NrhkzhalqV4sTt6/mJF4+RdH0",None,102,0,0,0,0,0,0,1,1,1,0,0,1
Django BCrypt,bcrypt$$2b$12$H5vKiFE1bQgYAdCXiG0stORu9leJyybG5V05giAh81avuFLfV/biW,None,67,0,0,0,0,0,0,1,0,1,0,0,1
Django BCrypt SHA256,bcrypt_sha256$$2b$12$W9AbTFTi1FcjElSJ.H0zgOduGwaDfYjDsChBcFGqH7SLcg907QoMS,None,74,0,0,0,0,0,0,1,0,0,1,0,1
Django DES Crypt,crypt$6J$6JpMTr8v5fK0.,None,22,0,0,0,0,0,0,1,0,0,1,0,1
Django PBKDF2 SHA1,pbkdf2_sha1$131000$1dwTX5Iwj48o$6gh5AVcai0w9vTW3bvlJAqGli8M=,None,60,0,0,0,0,0,0,1,1,0,0,0,1
Django PBKDF2 SHA256,pbkdf2_sha256$29000$xftRrFtXxNbL$ynCJB1x/ta+qMr4LX3qSbAF8mPfaF79ncmcsNg6ZlwQ=,None,77,0,0,0,0,0,0,1,1,1,0,0,1
Django salted MD5,md5$enagFimkr2CN$489af2861516b66624b79b4656e4a637,None,49,0,0,0,0,0,0,1,0,0,0,0,1
Django salted SHA1,sha1$eNZSWKdM56OW$d2a522732c75bc05d6932c335615ac2c9f94953b,None,58,0,0,0,0,0,0,1,0,0,0,0,1
Grub PBKDF2 SHA512,grub.pbkdf2.sha512.25000.D91BC358EB9D931282108250AA154268ED7DCF9993B236A674CE592B454809A1748E118230664C69CD1903C0786F2D85B096F27E6F0D8130264448A9D5DA3BA7.1BAA74B5E469F3B47EFFACD485ADEF8416869DED4977DA25CF5E9ED196A9A9582584ED61915822F21C032180D49EB6E4EA7C9A12F288F1CDCFD4B5954AAEBBCF,None,282,0,0,0,0,0,0,1,0,0,1,0,1
Hex,313233343536373839,None,18,0,1,1,0,0,0,0,0,0,0,0,0
HMAC-SHA1,e5ca2d0a7d8cdd938470d3eba325c17977874d50,None,40,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA256,e9f1f91535398c73105b095ee2be45fa6a26fd4ee56f17b1410ce2145850df42,None,64,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA512,96e3af1376d41ecc05dae1b4297fa8eb04869a3f18246428b88dc1cd5a7e552a8ca77a7cfae7162deaea4e6ca7852ea7ce59686e9205673e5295270599b93e25,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-224,06471de6c635a88e7470284b2c2ebf9bd7e5e888cbbd128c21cb8308,None,56,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-256,2a359feeb8e488a1af2c03b908b3ed7990400555db73e1421181d97cac004d48,None,64,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-384,efccae72ce14656c434751cf737e70a57ab8dd2c76f5abe01e52770affd77b66d2b80977724a00a6d971b702906f8032,None,96,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-512,40b787e94778266fb196a73b7a77edf9de2ef172451a2b87531324812250df8f26fcc11e69b35afddbe639956c96153e71363f97010bc99405dd2d77b8c41986,None,128,0,0,1,0,0,1,0,0,0,0,0,0
LDAP MD5,{MD5}JfnnlDI7RTiF9RgfG2JNCw==,{MD5},29,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted MD5,{SMD5}sLzNxczXBgeCgyGPos0QWQvhXOs=,{SMD5},34,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted SHA1,{SSHA}Xe6lEKolQ0bRh36xowf/SGqQCQ+t1RoD,{SSHA},38,0,0,0,0,0,0,1,0,1,0,0,1
LDAP salted SHA256,{SSHA256}dIIvy+Xa7TjNO49HvhqRhEDHQMg8nwCMClkY6274w0b2vhfCeA9BKA==,{SSHA256},65,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted SHA512,{SSHA512}soIMg7Zb5gdad01EedTcJOSfiYW0SCqZTfSX7YNC3r9Q1m7E4EFgBRAmFMVF4uHRvRI4w3ckD1VIik7TeKHfyfWeU8q5dy6F,{SSHA512},105,0,0,0,0,0,0,1,0,0,0,0,1
LDAP SHA1,{SHA}98O8HYCOBHMq32eZZczDTKeuNEE=,{SHA},33,0,0,0,0,0,0,1,1,0,0,0,1
LM,0182bd0bd4444bf867cd839bf040d93b,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD4,2ae523785d0caf4d2fb557c12016185c,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD5,25f9e794323b453885f5181f1b624d0b,None,32,0,0,1,0,0,1,0,0,0,0,0,0
md5crypt,$1$ycXvug5.$dwr66CgpJaa6qwULNiiHJ.,$1$,34,0,0,0,0,0,0,1,0,0,1,0,1
MSSQL 2000,0x0100D3FAFF7F683E5FCEE66478228845F1A926E515EC3211178A683E5FCEE66478228845F1A926E515EC3211178A,None,94,0,0,0,0,0,0,1,0,0,0,0,0
MSSQL 2005,0x0100FC5F4B49E611E22D54DC1A649255F316C683E2025BD70E9E,None,54,0,0,0,0,0,0,1,0,0,0,0,0
MySQL 3.2.3,0c95234760ae5a28,None,16,0,0,1,0,0,1,0,0,0,0,0,0
MySQL 4.1,*CC67043C7BCFF5EEA5566BD9B1F3C74FD9A5CF5D,None,41,0,0,0,0,1,0,0,0,0,0,0,1
NTLM,c22b315c040ae6e0efee3518d830362b,None,32,0,0,1,0,0,1,0,0,0,0,0,0
Oracle 10g,8F045D3B93F53E56,None,16,0,0,1,0,1,0,0,0,0,0,0,0
